customer_id,credit_card_default
164920,0
153597,0
106429,0
110261,0
150536,0
134373,0
162555,0
112011,0
121667,0
147080,0
111767,0
143925,1
107998,0
140964,0
151180,0
133256,0
124432,0
140803,0
148520,0
138190,0
142486,0
151877,0
128084,0
130276,0
155200,0
152098,0
107399,0
143148,0
156784,0
105229,0
157304,0
112446,1
132964,1
149122,1
143660,0
143645,0
131474,0
162909,0
104106,1
103154,0
153725,0
115338,0
146314,0
115484,0
102042,0
100047,1
125794,0
109229,0
109963,0
154257,0
133700,0
107944,0
157343,0
164918,1
146012,0
141155,0
138763,0
148888,0
161881,0
117688,0
162750,0
163592,0
113072,0
110771,0
161484,0
136641,0
126691,0
113530,0
151384,1
150886,0
120255,0
144308,0
101422,0
162359,0
131188,0
117550,0
160675,0
134759,1
116599,0
125832,1
132997,1
116574,0
162961,0
122777,0
158814,0
147174,0
131773,0
138373,0
147307,0
153457,0
159980,0
125475,0
112174,0
136227,0
160371,0
163155,0
129356,0
110824,0
156998,0
132747,1
115895,0
163303,0
105527,0
107813,0
112045,0
125402,0
120079,0
105675,0
150263,0
102818,0
111254,0
113786,0
164860,1
150360,0
133546,0
131789,0
106646,0
153793,0
138113,0
159890,0
139896,0
125931,0
153638,0
101451,0
104484,1
136281,0
163439,0
139374,0
145240,1
105467,0
147482,0
131423,0
144954,0
121918,0
127184,0
120413,0
128013,0
150849,0
138868,0
156378,0
151393,0
119624,0
136948,0
145687,0
114972,0
102899,0
133757,0
142173,0
141892,0
164948,0
114012,0
107202,0
107242,0
123609,0
151246,0
107786,0
140738,0
161646,0
161948,0
154687,0
134730,0
119686,0
153785,0
105283,0
103953,0
100006,0
141936,0
131305,0
135357,0
157135,0
135344,0
142923,0
145764,0
121398,0
158833,0
116320,1
108198,0
109600,1
102923,0
128696,0
138391,0
110171,0
161826,0
132540,0
122063,0
117333,0
112553,0
114259,0
130247,0
130033,0
124593,0
121661,0
145616,1
114503,0
155215,0
158460,0
117213,1
123187,0
119129,0
159033,0
101052,0
163172,0
113218,0
128695,0
107694,0
114401,0
101685,0
155380,0
106627,0
104726,0
120445,0
121260,0
107778,0
120458,0
148853,1
157951,0
160164,0
102173,0
104471,0
161981,0
164803,0
119513,0
147012,0
153403,0
159092,0
103447,0
104341,0
131383,0
123213,0
124496,0
151474,0
137035,0
125320,0
156880,0
101191,0
117649,0
125905,0
165831,0
129447,0
104754,0
107308,0
128042,0
156616,0
112645,0
162204,0
106824,0
156918,0
105705,0
153424,0
131850,0
141665,1
122079,1
155056,1
126811,0
122600,0
118194,0
136827,0
131597,0
163073,0
105281,0
146519,0
122726,0
147755,0
165579,0
132335,1
103094,0
148152,0
153574,0
101612,0
149403,0
109824,0
164473,0
108023,0
148377,0
143248,0
164975,0
143210,0
131024,0
113895,0
122342,0
152568,0
154551,0
129653,0
152829,0
127755,0
143095,0
113640,0
128245,0
165735,0
143255,0
144544,0
120299,0
155175,0
159393,1
121711,0
108663,0
107174,0
117667,0
128903,0
116098,0
121248,0
163658,0
150182,0
129868,0
111470,0
149039,0
154348,0
148953,0
140292,0
102623,0
160505,0
138121,0
151432,0
136637,1
117861,0
154255,1
109592,0
134421,1
146745,0
160874,0
143294,0
127987,0
156244,0
158390,0
140109,0
161638,0
155561,0
111685,0
109789,0
110976,0
158915,1
122990,0
126424,0
151449,0
140266,0
163252,0
145548,0
141311,0
115786,0
133988,0
109875,0
106526,0
152851,0
141238,0
110594,0
118324,0
104782,0
112736,0
135963,0
123675,0
165891,0
118646,0
132265,0
112757,0
115623,0
127566,0
104059,0
155292,0
127527,0
103584,0
132934,0
124269,0
163607,0
105032,0
108553,0
160269,0
101263,0
116449,0
162150,0
162386,0
103234,0
159869,0
132367,0
162896,0
139620,0
135921,0
150088,0
105805,0
162557,0
156504,0
160292,0
151488,0
123233,0
119799,0
143096,0
122536,0
147684,0
159125,0
109623,0
101628,0
123385,0
149239,0
117403,0
160358,0
108366,0
117843,0
124530,0
113198,0
162065,0
117833,0
137494,0
106993,0
126893,0
111270,0
146463,0
109973,0
150073,0
157634,0
159856,0
138026,1
131412,0
151157,0
122890,0
123600,0
100761,0
100821,0
105871,0
138662,0
140777,0
132124,0
136896,0
160916,1
107425,0
131984,0
125791,0
108287,0
120574,0
124149,0
151939,0
145578,0
101344,0
137903,1
115687,0
137096,0
106613,1
131518,0
142323,0
132720,0
153469,0
145221,0
136268,0
155080,0
145413,0
119879,0
124147,0
151983,0
146838,0
138853,0
127788,0
158192,0
100236,0
131311,0
132525,0
119002,0
101001,0
127298,0
117202,0
134077,0
142989,0
133573,0
112188,0
100565,0
121091,0
116437,0
115656,0
122189,0
118314,0
132467,0
151045,0
118595,0
145352,0
142190,0
107257,0
156230,0
155350,0
148509,0
161931,0
103455,0
138846,0
132863,0
122896,0
147494,0
154034,0
106146,0
154892,0
124791,0
157322,0
120048,0
129364,0
140456,0
117192,0
115552,0
117276,0
101692,0
103913,0
149961,0
119107,0
142859,0
150769,0
163066,0
105689,0
120949,0
129004,0
139941,0
100973,0
155058,0
148837,0
102297,0
138647,0
142639,1
135229,0
128267,0
139730,0
133918,0
112653,0
122013,0
156863,0
126978,0
105642,0
129118,0
112665,1
105637,0
101069,0
159809,0
156540,0
135245,0
165000,0
161900,0
123031,0
163466,0
137516,0
100705,0
121405,1
132115,0
100590,0
118446,0
102721,0
123710,0
107959,0
104648,0
102926,0
134080,0
119591,0
165765,0
161706,0
138650,0
128379,0
122022,0
112411,0
155685,0
150228,0
118884,0
148956,0
108174,0
100263,0
157744,0
112790,0
103244,0
116621,0
130912,0
116903,0
118277,0
111684,0
143839,0
119482,1
164529,0
122599,0
118777,0
160387,0
117063,0
152447,0
123214,0
160394,0
113144,0
118836,0
145916,0
134505,0
148117,0
113868,0
131279,0
133951,0
108020,0
141824,0
112745,0
126369,0
119112,0
134042,0
132947,0
103309,0
118759,0
156148,0
144526,0
139376,0
155879,1
154396,0
165301,0
130308,0
144267,0
130195,0
140708,0
149946,0
108819,0
150345,0
163868,0
147526,0
149156,1
155143,0
149620,0
125286,0
157911,0
162772,1
142229,0
128322,0
125415,0
129952,0
110868,1
153218,0
123637,0
132433,0
142706,0
109730,0
120105,0
115888,0
140147,0
101203,0
154811,0
132920,0
161663,0
128640,0
149027,0
107431,0
150915,0
109472,0
148045,0
141140,0
115068,0
143179,0
125418,0
127337,0
163459,0
129671,1
139167,1
118527,0
107452,0
114002,0
104910,0
115411,0
135912,0
111823,0
129477,0
138081,0
100458,0
120789,0
123771,0
149699,0
115181,0
125802,0
125997,0
139658,0
131605,0
106556,0
137968,0
110064,0
121691,0
135909,0
110508,0
124158,0
153252,1
123901,0
104240,0
142821,0
131317,0
146921,0
126384,0
137800,1
140264,0
148964,0
157734,0
129018,0
150062,0
160531,0
132032,0
145900,1
147205,0
150140,0
149100,0
125537,0
142492,0
138532,0
137626,0
118350,0
132741,0
148295,0
127695,0
112341,0
153649,0
164583,0
137143,0
111428,0
134466,0
114504,0
127145,0
128708,0
109351,1
116202,0
146036,0
140648,0
137157,0
118878,0
132696,0
157002,0
113210,0
110965,0
165575,0
143735,0
150067,0
136552,0
125689,0
155635,0
113161,0
113119,0
122966,0
136540,0
117852,0
142113,0
132950,0
157237,1
106855,0
115318,1
134086,0
101382,1
159845,0
119508,0
146983,0
152058,0
157338,0
164985,0
165662,0
132282,0
158025,0
145083,0
151503,1
163326,0
108402,0
118890,0
129291,0
104574,0
119406,1
132048,0
127572,0
163899,0
136327,0
133784,0
111476,0
130963,0
121180,0
136769,0
120465,0
125512,0
107077,0
124341,1
144223,0
121736,0
146045,0
111609,0
105879,1
124132,0
159931,0
147625,0
111716,0
126393,0
165402,1
158852,0
152901,0
143518,1
129288,1
130289,0
131428,0
136673,0
144591,0
127772,0
154123,0
142398,0
162914,0
109947,0
154208,0
157211,0
104124,0
125520,0
123581,0
160940,0
123613,0
144632,0
113077,0
102578,1
157900,0
141979,0
115219,0
138659,0
104015,0
146640,0
120967,1
102936,0
147344,0
138271,0
145809,0
146290,0
124237,0
147313,0
143898,0
102938,0
133057,0
162751,0
121688,0
160481,0
125769,0
157184,0
141922,0
113900,1
112950,0
127176,0
100527,0
106076,0
134625,0
110490,0
110714,0
104841,0
157196,0
127651,0
155277,1
127405,0
114826,0
102653,0
145114,0
130743,0
133695,0
143578,0
116107,0
136766,0
121743,1
138559,0
157560,0
165900,0
139421,0
161346,0
129716,0
144389,0
114679,0
112190,0
122905,0
143276,0
104016,0
141920,0
153260,0
143158,0
144535,0
104371,0
118769,0
157880,0
151608,0
156165,0
165318,1
135273,0
102888,0
161316,0
142228,0
147251,0
157387,0
112189,0
122547,0
148630,1
118910,0
127982,0
142957,0
160047,0
121295,0
119222,0
106304,0
124366,0
115416,0
155490,0
155708,0
160212,0
108564,0
109538,1
140385,0
156590,0
114949,0
122384,0
117453,1
130970,0
111738,0
150799,0
162963,0
148445,0
153862,0
143074,0
133321,0
160865,0
135957,0
117328,0
